clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Remo,Marllon,Zagueiro,Casa,MIR,3.5,3.5,1,5.32,0.32
Atlético-MG,Minda,Atacante,Fora,RBB,0.0,0.0,0,9.0,0.0
Flamengo,Andrew,Goleiro,Casa,INT,0.0,0.0,0,3.0,0.0
Atlético-MG,Vitão,Zagueiro,Fora,RBB,0.0,0.0,0,1.0,0.0
Chapecoense,Bruno Pacheco,Lateral,Fora,VAS,0.0,0.0,0,6.0,0.0
Chapecoense,João Bom,Atacante,Fora,VAS,0.0,0.0,0,2.0,0.0
Remo,Patrick,Meia,Casa,MIR,1.3,1.3,1,4.55,-0.45
Remo,Léo Andrade,Zagueiro,Casa,MIR,3.2,3.2,1,4.39,0.39
Vitória,Gabriel,Goleiro,Fora,PAL,6.8,6.8,1,7.29,1.29
Atlético-MG,Victor Hugo,Meia,Fora,RBB,9.5,9.5,1,6.6,2.6
Mirassol,Igor Formiga,Lateral,Fora,REM,4.0,4.0,1,6.31,0.31
Grêmio,Noriega,Zagueiro,Casa,BOT,0.0,0.0,0,5.0,0.0
Mirassol,Rodrigues,Zagueiro,Fora,REM,0.0,0.0,0,4.0,0.0
Corinthians,Jacaré,Lateral,Fora,CAP,0.0,0.0,0,2.0,0.0
Atlético-MG,Preciado,Lateral,Fora,RBB,0.0,0.0,0,8.0,0.0
São Paulo,Paulinho,Atacante,Fora,SAN,0.0,0.0,0,2.0,0.0
Coritiba,Breno Lopes,Atacante,Fora,CRU,1.1,1.1,1,6.93,-1.07
Grêmio,Tetê,Atacante,Casa,BOT,3.3,3.3,1,10.98,-1.02
Vitória,Emmanuel Martínez,Meia,Fora,PAL,0.0,0.0,0,5.0,0.0
Remo,Rafael Monti,Atacante,Casa,MIR,0.0,0.0,0,4.0,0.0
Cruzeiro,Gerson,Meia,Casa,CFC,1.4,1.4,1,11.13,-1.87
Corinthians,Gabriel Paulista,Zagueiro,Fora,CAP,-0.3,-0.3,1,8.08,-1.92
Athlético-PR,Bruninho,Meia,Casa,COR,0.0,0.0,0,3.0,0.0
Internacional,Villagra,Meia,Fora,FLA,0.0,0.0,1,6.55,-1.45
Coritiba,Gustavo,Meia,Fora,CRU,0.0,0.0,0,4.0,0.0
Vitória,Edu,Zagueiro,Fora,PAL,0.0,0.0,0,4.0,0.0
Atlético-MG,Cassierra,Atacante,Fora,RBB,0.0,0.0,0,10.0,0.0
Vitória,Riccieli,Zagueiro,Fora,PAL,5.0,5.0,1,5.03,1.03
Bahia,Dell,Atacante,Casa,FLU,2.5,2.5,1,2.51,0.51
Corinthians,Milans,Lateral,Fora,CAP,0.0,0.0,0,6.0,0.0
Remo,Picco,Meia,Casa,MIR,0.0,0.0,0,5.0,0.0
